Mã nhóm ngành,Nhóm ngành,Mã phân ngành,Phân ngành,Mã xét tuyển,Tên Ngành
751,Công nghệ kỹ thuật,75104,"Công nghệ hóa học, vật liệu, luyện kim và môi trường",QHT15,Công nghệ kỹ thuật môi trường
751,Công nghệ kỹ thuật,75104,"Công nghệ hóa học, vật liệu, luyện kim và môi trường",7510406D,Công nghệ kỹ thuật môi trường
751,Công nghệ kỹ thuật,75104,"Công nghệ hóa học, vật liệu, luyện kim và môi trường",7510406 PH,Công nghệ kỹ thuật môi trường
751,Công nghệ kỹ thuật,75104,"Công nghệ hóa học, vật liệu, luyện kim và môi trường",QHT46,Công nghệ kỹ thuật môi trường
751,Công nghệ kỹ thuật,75104,"Công nghệ hóa học, vật liệu, luyện kim và môi trường",GTADCMN221,Công nghệ kỹ thuật môi trường
748,Máy tính và công nghệ thông tin,74802,Công nghệ thông tin,7480201,Công nghệ kỹ thuật môi trường
751,Công nghệ kỹ thuật,75104,"Công nghệ hóa học, vật liệu, luyện kim và môi trường",GTADCMN2,Công nghệ kỹ thuật môi trường
751,Công nghệ kỹ thuật,75104,"Công nghệ hóa học, vật liệu, luyện kim và môi trường",CN13,Công nghệ kỹ thuật năng lượng
752,Kỹ thuật,75204,Vật lý kỹ thuật,CN3,Công nghệ kỹ thuật năng lượng
751,Công nghệ kỹ thuật,75104,"Công nghệ hóa học, vật liệu, luyện kim và môi trường",7510403,Công nghệ kỹ thuật năng lượng
751,Công nghệ kỹ thuật,75190,Công nghệ kỹ thuật - Khác,7519007,Công nghệ kỹ thuật năng lượng tái tạo
751,Công nghệ kỹ thuật,75190,Công nghệ kỹ thuật - Khác,7519007N,Công nghệ kỹ thuật năng lượng tái tạo
