url,university_code,university_name,province,region,admission_code,institution_type
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-luat-tphcm/,HCMUL,Đại Học Luật TPHCM,Hồ Chí Minh,Miền Nam,LPS,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dh-tai-nguyen-moi-truong-tphcm/,HCMUNRE,ĐH Tài Nguyên môi trường TPHCM,Hồ Chí Minh,Miền Nam,DTM,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-su-pham-ky-thuat-tphcm/,HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,Hồ Chí Minh,Miền Nam,SPK,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-the-duc-the-thao-tphcm/,HCUS,Đại Học Thể Dục Thể Thao TPHCM,Hồ Chí Minh,Miền Nam,TDS,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-dong-do/,HDIU,Đại Học Đông Đô,Hà Nội,Miền Bắc,DDD,Dân lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-hong-duc/,HĐU,Đại Học Hồng Đức,Thanh Hóa,Miền Trung - Tây Nguyên,HDT,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-ha-hoa-tien/,HHTU,Đại Học Hà Hoa Tiên,Hà Nam,Miền Bắc,DHH,Dân lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-quoc-te-hong-bang/,HIU,Đại Học Quốc Tế Hồng Bàng,Hồ Chí Minh,Miền Nam,HBU,Dân lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-luat-ha-noi/,HLU,Đại Học Luật Hà Nội,Hà Nội,Miền Bắc,LPH,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-ha-long/,HLU,Đại Học Hạ Long,Quảng Ninh,Miền Bắc,HLU,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-hoa-lu/,HLUV,Đại Học Hoa Lư,Ninh Bình,Miền Bắc,DNB,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-ky-thuat-y-te-hai-duong/,HMTU,Đại Học Kỹ Thuật Y Tế Hải Dương,Hải Dương,Miền Bắc,DKY,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-thu-do-ha-noi/,HMU,Đại học Thủ Đô Hà Nội,Hà Nội,Miền Bắc,HNM,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-y-ha-noi/,HMU,Đại Học Y Hà Nội,Hà Nội,Miền Bắc,YHB,Công lập
https://huongnghiep.hocmai.vn/diem-truong/phan-hieu-dai-hoc-y-ha-noi-tai-thanh-hoa/,HMU,Phân hiệu Đại học Y Hà Nội tại Thanh Hóa,Thanh Hóa,Miền Bắc,YHB,Công lập
https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-chinh-tri-cong-an-nhan-dan/,HNCTCAND,Học Viện Chính Trị Công An Nhân Dân,Hà Nội,Miền Bắc,HCA,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-su-pham-ha-noi/,HNUE,Đại Học Sư Phạm Hà Nội,Hà Nội,Miền Bắc,SPH,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-su-pham-ha-noi-2/,HNUE,Đại Học Sư Phạm Hà Nội 2,Vĩnh Phúc,Miền Bắc,SP2,Công lập
https://huongnghiep.hocmai.vn/diem-truong/vien-dai-hoc-mo-ha-noi/,HOU,Viện Đại Học Mở Hà Nội,Hà Nội,Miền Bắc,MHN,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-y-duoc-hai-phong/,HPMU,Đại Học Y Dược Hải Phòng,Hải Phòng,Miền Bắc,YPB,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kiem-sat-ha-noi/,HPU,Đại học Kiểm Sát Hà Nội,Hà Nội,Miền Bắc,DKS,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-hai-phong/,HPU,Đại Học Hải Phòng,Hải Phòng,Miền Bắc,THP,Công lập
https://huongnghiep.hocmai.vn/diem-truong/truong-quan-tri-va-kinh-doanh-dai-hoc-quoc-gia-ha-noi/,HSB,Trường Quản Trị và Kinh Doanh - Đại học Quốc gia Hà Nội,Hà Nội,Miền Bắc,QHD,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-hoa-sen/,HSU,Đại Học Hoa Sen,Hồ Chí Minh,Miền Nam,DTH,Dân lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghiep-det-may-ha-noi/,HTU,Đại Học Công Nghiệp Dệt May Hà Nội,Hà Nội,Miền Bắc,CCM,Công lập
